CNNAM,FNFNUM,CNID,USERID,CREATED,MODIFIED
"Okra","1","OKRA","DUKE","10-DEC-97",""
"Manioc Hibiscus","2","MANIOCHIBISCUS","DUKE","10-DEC-97",""
"Ambrette","3","AMBRETTE","DUKE","10-DEC-97",""
"Silver-Fir","4","SILVERFIR","DUKE","10-DEC-97",""
"Balsam Fir","5","BALSAMFIR","DUKE","10-DEC-97",""
"Japanese Fir","6","JAPANESEFIR","DUKE","10-DEC-97",""
"Shin-Yo-Yu","6","SHINYOYU","DUKE","10-DEC-97",""
"Crab's Eye","7","CRABSEYE","DUKE","10-DEC-97",""
"Jequerity","7","JEQUERITY","DUKE","10-DEC-97",""
"Black Cutch","8","BLACKCUTCH","DUKE","10-DEC-97",""
"Catechu","8","CATECHU","DUKE","10-DEC-97",""
"Green Wattle","9","GREENWATTLE","DUKE","10-DEC-97",""
"Cassie","10","CASSIE","DUKE","10-DEC-97",""
"Huisache","10","HUISACHE","DUKE","10-DEC-97",""
"Pilang Bast","11","PILANGBAST","DUKE","10-DEC-97",""
"Blackwood","12","BLACKWOOD","DUKE","10-DEC-97",""
"Babul","13","BABUL","DUKE","10-DEC-97",""
"Gum Arabic","14","GUMARABIC","DUKE","10-DEC-97",""
"Umbrella Thorn","15","UMBRELLATHORN","DUKE","10-DEC-97",""
"Cancer Herb","16","CANCERHERB","DUKE","10-DEC-97",""
"Indian Acalypha","16","INDIANACALYPHA","DUKE","10-DEC-97",""
"Wu Chia Pi","17","WUCHIAPI","DUKE","10-DEC-97",""
"Yarrow","18","YARROW","DUKE","10-DEC-97",""
"Iva","19","IVA","DUKE","10-DEC-97",""
"Chaff Flower","20","CHAFFFLOWER","DUKE","10-DEC-97",""
"Chaff Flower","21","CHAFFFLOWER","DUKE","10-DEC-97",""
"Arrow-Poison Tree","22","ARROWPOISONTREE","DUKE","10-DEC-97",""
"Aconite","23","ACONITE","DUKE","10-DEC-97",""
"Fu-Tsu","23","FUTSU","DUKE","10-DEC-97",""
"European Aconite","24","EUROPEANACONITE","DUKE","10-DEC-97",""
"Monkshood","24","MONKSHOOD","DUKE","10-DEC-97","27-SEP-00"
"Sweetflag","25","SWEETFLAG","DUKE","10-DEC-97",""
"American Baneberry","26","AMERICANBANEBERRY","DUKE","10-DEC-97",""
"Red Baneberry","27","REDBANEBERRY","DUKE","10-DEC-97",""
"European Baneberry","28","EUROPEANBANEBERRY","DUKE","10-DEC-97",""
"Kiwi","29","KIWI","DUKE","10-DEC-97",""
"Cat Powder","30","CATPOWDER","DUKE","10-DEC-97",""
"Silver Vine","30","SILVERVINE","DUKE","10-DEC-97",""
"Maidenhair Fern","31","MAIDENHAIRFERN","DUKE","10-DEC-97",""
"American Maidenhair","32","AMERICANMAIDENHAIR","DUKE","10-DEC-97",""
"Spring Adonis","33","SPRINGADONIS","DUKE","10-DEC-97",""
"Horse Chestnut","34","HORSECHESTNUT","DUKE","10-DEC-97",""
"Fool's Parsley","35","FOOLSPARSLEY","DUKE","10-DEC-97",""
"Nettle-Leaf Giant Hyssop","36","NETTLELEAFGIANTHYSSOP","DUKE","10-DEC-97",""
"Buchu","37","BUCHU","DUKE","10-DEC-97",""
"Century Plant","38","CENTURYPLANT","DUKE","10-DEC-97",""
"Maguey","38","MAGUEY","DUKE","10-DEC-97",""
"Mescal","39","MESCAL","DUKE","10-DEC-97",""
"Agrimony","40","AGRIMONY","DUKE","10-DEC-97",""
"Corn Cockle","41","CORNCOCKLE","DUKE","10-DEC-97",""
"Stinktree","42","STINKTREE","DUKE","10-DEC-97",""
"Tree Of Heaven","42","TREEOFHEAVEN","DUKE","10-DEC-97",""
"Bugle","43","BUGLE","DUKE","10-DEC-97",""
"Chocolate Vine","44","CHOCOLATEVINE","DUKE","10-DEC-97",""
"Mimosa","45","MIMOSA","DUKE","10-DEC-97",""
"Niando","46","NIANDO","DUKE","10-DEC-97",""
"Colic Root","47","COLICROOT","DUKE","10-DEC-97",""
"Star Grass","47","STARGRASS","DUKE","10-DEC-97",""
"Unicorn Root","47","UNICORNROOT","DUKE","10-DEC-97",""
"Tungoil Tree","48","TUNGOILTREE","DUKE","10-DEC-97",""
"Candlenut","49","CANDLENUT","DUKE","10-DEC-97",""
"Mud Plantain","50","MUDPLANTAIN","DUKE","10-DEC-97",""
"Tse-Hsieh","50","TSEHSIEH","DUKE","10-DEC-97",""
"Water Plantain","50","WATERPLANTAIN","DUKE","10-DEC-97",""
"Ze-Xie","50","ZEXIE","DUKE","10-DEC-97",""
"Garlic Mustard","51","GARLICMUSTARD","DUKE","10-DEC-97",""
"Elephant Garlic","52","ELEPHANTGARLIC","DUKE","10-DEC-97",""
"Kurrat","52","KURRAT","DUKE","10-DEC-97",""
"Onion","53","ONION","DUKE","10-DEC-97",""
"Garlic","54","GARLIC","DUKE","10-DEC-97",""
"Chives","55","CHIVES","DUKE","10-DEC-97",""
"Black Alder","56","BLACKALDER","DUKE","10-DEC-97",""
"Giant Taro","57","GIANTTARO","DUKE","10-DEC-97",""
"Bitter Aloes","58","BITTERALOES","DUKE","10-DEC-97",""
"Lemon Verbena","59","LEMONVERBENA","DUKE","10-DEC-97",""
"Greater Galangal","60","GREATERGALANGAL","DUKE","10-DEC-97",""
"Lesser Galangal","61","LESSERGALANGAL","DUKE","10-DEC-97",""
"Marshmallow","62","MARSHMALLOW","DUKE","10-DEC-97",""
"Pigweed","63","PIGWEED","DUKE","10-DEC-97",""
"Bishop's Weed","64","BISHOPSWEED","DUKE","10-DEC-97",""
"Visnaga","65","VISNAGA","DUKE","10-DEC-97",""
"Bastard Cardamom","66","BASTARDCARDAMOM","DUKE","10-DEC-97",""
"Chin Kousha","66","CHINKOUSHA","DUKE","10-DEC-97",""
"Malabar Cardamom","66","MALABARCARDAMOM","DUKE","10-DEC-97",""
"Tavoy Cardamom","66","TAVOYCARDAMOM","DUKE","10-DEC-97",""
"Elephant-Foot Yam","67","ELEPHANTFOOTYAM","DUKE","10-DEC-97",""
"Devil's Tongue","68","DEVILSTONGUE","DUKE","10-DEC-97",""
"Konjac","68","KONJAC","DUKE","10-DEC-97",""
"Leopard Palm","68","LEOPARDPALM","DUKE","10-DEC-97",""
"Umbrella Arum","68","UMBRELLAARUM","DUKE","10-DEC-97",""
"Anabasis","69","ANABASIS","DUKE","10-DEC-97",""
"Cashew","70","CASHEW","DUKE","10-DEC-97",""
"Cohoba","71","COHOBA","DUKE","10-DEC-97",""
"Niopo","71","NIOPO","DUKE","10-DEC-97",""
"Cohoba","72","COHOBA","DUKE","10-DEC-97",""
