,TAXON,ACTIVITY,CNAME,FAMILY,GENUS,SPECIES
0,Abelmoschus esculentus,"Abortifacient,Antidote,Boil,Burn,Catarrh,Coffee,Colic,Cordial,Demulcent,Diarrhea,Diuretic,Dyspepsia,Dysuria,Emollient,Gonorrhea,Inflammation,Intestine,Lactogogue,Leprosy,Parturition,Pectoral,Scald,Sore,Spasm,Stimulant,Sudorific,Syphilis,Ache(Tooth),Tumor,Whitlow,Abscess,Aphrodisiac,Gum,Labor,Pregnancy,Wound","nan,Huang Shu K'Uei,Bamia,Molondron,Quiabeiro,Gombo,Gumbo,Calalou,Calalou Gombo,Quingombo,Ochro",Malvaceae,Abelmoschus,esculentus
1,Abelmoschus manihot,"Antitussive,Boil,Cancer,Cancer(Stomach),Catarrh,Emmenagogue,Inflammation,Paper,Sore,Sore(Throat),Sprain,Stomach,Lubricative","Tororo-Aoi,nan,Kastuli",Malvaceae,Abelmoschus,manihot
2,Abelmoschus moschatus,"Aphrodisiac,Asthma,Bite(Snake),Boil,Cancer,Carminative,Chest-Cold,Cold,Colic,Demulcent,Diuretic,Flu,Hoarseness,Hysteria,Insecticide,Itch,Nerves,Rheumatism,Spasm,Stimulant,Stomach,Stomachic,Throat,Tonic,Vermifuge,Ache(Stomach),Debility,Repellant(Insect),Medicine,Perfume,Refrigerant","Musk Mallow,nan,Moskus,Muskus,Mushk Dana,Ambercicegi,Abelmosco,Ambrette,Kasturi Dana,Kapas Hantu,Zatakasturika,Bisam Eibisch,Moschus",Malvaceae,Abelmoschus,moschatus
3,Abies alba,"Bronchitis,Bruise,Calculus,Catarrh,Cough,Diuretic,Expectorant,Gonorrhea,Gravel,Internulcer,Laxative,Leucorrhea,Liniment,Lung,Resolvent,Rubefacient,Sore,Tubercle,Vulnerary,Wound","Abeto,Edeltanne,Beyaz Koknar,Silver Fir,Abeto Bianco,Zilver Spar",Pinaceae,Abies,alba
4,Abies balsamea,"Burn,Cancer,Cold,Cough,Heart,Masticatory,Sore,Steam-Bath,Wound,Anodyne,Catarrh,Urogenital,Wart","nan,Balsam,Canada,Balsam Fir,Fir",Pinaceae,Abies,balsamea
5,Abies canadensis,"Astringent,Tonic","Kanada Kokspar,Balsam Fir",Pinaceae,Abies,canadensis
6,Abies fraseri,"Diuretic,Pectoral,Stimulant,Vermifuge,Wound",nan,Pinaceae,Abies,fraseri
7,Abies grandis,"Alopecia,Anodyne,Bruise,Canker,Collyrium,Dandruff,Gingivitis,Laxative,Pertussis,Psoriasis,Rejuvenation,Skin,Sore,Stomach,Tonic,Tuberculosis,Side,Boil,Cold,Cough,Wound",nan,Pinaceae,Abies,grandis
8,Abies lasiocarpa,"Antiseptic,Cold,Fever,Hair-Oil,Infection,Poultice,Sore,Wound,Chest-Cold,Rash,Skin",nan,Pinaceae,Abies,lasiocarpa
9,Abies pectinata,"Asthma,Catarrh,Cough,Antiseptic,Cold",nan,Pinaceae,Abies,pectinata
10,Abies sibirica,"Antiseptic,Bronchitis,Expectorant,Rheumatism,Stimulant",nan,Pinaceae,Abies,sibirica
