taxonid|relatednameusageid|relationtype|remarks
250443|250232|replacement name|
281366|298758|replacement name|
2595809|2595916|replacement name|
336840|49782|replacement name|
2569633|2569235|replacement name|
2689210|2360248|replacement name|
237146|237092|replacement name|
2393617|2394611|replacement name|
2873083|2374097|replacement name|
2461348|2460074|replacement name|
505921|503979|replacement name|
2585830|2585749|replacement name|
2622472|2329494|replacement name|
2463719|2460111|replacement name|
2460966|2456416|replacement name|
2708451|2708450|replacement name|
2778565|2778545|replacement name|
2471412|2460206|replacement name|
2559237|2394008|replacement name|
369357|363500|replacement name|, nom. superfl.
2533893|2824253|replacement name|
2806606|2469250|replacement name|
2859936|2859744|replacement name|
2965430|2972365|replacement name|
488977|488313|replacement name|
325729|328899|replacement name|
2444068|2660475|replacement name|
307737|297584|replacement name|
2350073|2350292|replacement name|
2707740|3010919|replacement name|
3283639|2512364|replacement name|
2612259|2612260|replacement name|
2634846|2730236|replacement name|, nom. illeg.
2849784|2849782|replacement name|
2865533|2373632|replacement name|
124690|124792|replacement name|
283046|282871|replacement name|
299224|299715|replacement name|
3194951|3194219|replacement name|
2454655|2455090|replacement name|
2556565|3008087|replacement name|
2558328|2556817|replacement name|
2624387|2624164|replacement name|
2717840|2717016|replacement name|
2753197|2753196|replacement name|
2843931|2843679|replacement name|
2988951|2985278|replacement name|
3213256|3213255|replacement name|
2478743|2403335|replacement name|
2464287|2464303|replacement name|
2977020|2989232|replacement name|
3164730|3195439|replacement name|
2439386|2439313|replacement name|
2721113|2721721|replacement name|
521781|120376|replacement name|, nom. illeg.
3286361|3206353|replacement name|
276642|291916|replacement name|
2845214|2419906|replacement name|
2989653|2984257|replacement name|
2406351|2330396|replacement name|
2533423|2822763|replacement name|
65609|128918|replacement name|
112534|192533|replacement name|
206126|206125|replacement name|, nom. illeg.
71149|71454|replacement name|
282570|280155|replacement name|, nom. illeg.
333356|32086|replacement name|
48803|206150|replacement name|, nom. superfl.
180439|87739|replacement name|, nom. superfl.
102083|43658|replacement name|, nom. illeg.
113747|62649|replacement name|
86369|180283|replacement name|
12620|85676|replacement name|
12610|85676|replacement name|, nom. superfl.
176506|88331|replacement name|, nom. illeg.
135692|44644|replacement name|
152183|152240|replacement name|, nom. superfl.
224891|225765|replacement name|
263924|250564|replacement name|
261856|263336|replacement name|
279816|280672|replacement name|
279946|280683|replacement name|, nom. superfl.
279828|280683|replacement name|, nom. superfl.
209930|180468|replacement name|
175538|175530|replacement name|, not validly publ.
143938|205645|replacement name|
133118|28018|replacement name|, nom. illeg.
349416|219235|replacement name|
297071|297874|replacement name|, nom. superfl.
264756|264014|replacement name|
265467|249793|replacement name|
266850|160066|replacement name|
358553|370508|replacement name|, nom. superfl.
307233|283626|replacement name|, nom. superfl.
315079|315191|replacement name|, nom. superfl.
414547|416727|replacement name|, nom. superfl.
435254|436481|replacement name|, nom. superfl.
450414|450362|replacement name|, nom. superfl.
423295|450362|replacement name|, nom. superfl.
423205|451088|replacement name|, nom. superfl.
451427|451090|replacement name|, nom. illeg.
421034|425672|replacement name|
434628|425824|replacement name|, nom. superfl.
322701|322964|replacement name|, nom. superfl.
333917|327970|replacement name|, nom. illeg.
369165|355570|replacement name|, nom. illeg.
365897|365789|replacement name|, nom. superfl.
105383|212517|replacement name|
326802|326512|replacement name|
379035|380022|replacement name|
427493|408820|replacement name|
429661|409227|replacement name|
421156|424197|replacement name|, nom. superfl.
429498|447624|replacement name|
434637|433709|replacement name|, nom. superfl.
391168|390860|replacement name|
421428|436663|replacement name|, nom. superfl.
386637|379936|replacement name|, nom. superfl.
513270|513286|replacement name|
71558|71348|replacement name|, nom. superfl.
390137|469216|replacement name|
2447928|2448168|replacement name|, nom. superfl.
2402684|2478730|replacement name|
2476361|2476410|replacement name|, nom. superfl.
2813203|2442341|replacement name|
2428216|2532179|replacement name|, nom. superfl.
2622734|2448803|replacement name|, nom. superfl.
2389822|2396330|replacement name|
2435032|2423725|replacement name|
2363392|2623225|replacement name|, nom. superfl.
2371252|2623225|replacement name|, nom. superfl.
2371201|2623225|replacement name|, nom. superfl.
2869462|2448849|replacement name|
2373999|2936873|replacement name|
2616911|2394611|replacement name|
2399293|2398316|replacement name|, nom. superfl.
2611026|2601700|replacement name|, nom. superfl.
2554939|2614190|replacement name|
2641105|2595705|replacement name|, nom. superfl.
3007046|2444559|replacement name|, not validly publ.
2669593|2641921|replacement name|
2822498|2648281|replacement name|, nom. superfl.
2351233|2351238|replacement name|
2444356|2538930|replacement name|
2403691|2403335|replacement name|
2464803|2510435|replacement name|
2677722|2549871|replacement name|, nom. superfl.
3008537|2563771|replacement name|, nom. superfl.
2963311|2963667|replacement name|
2708437|2525023|replacement name|, nom. superfl.
2338425|2680580|replacement name|, nom. superfl.
2737350|2737293|replacement name|
2725170|2690544|replacement name|
2660799|2538996|replacement name|
2723564|2723507|replacement name|
2811660|2547538|replacement name|
2811778|2809960|replacement name|
2833259|2832893|replacement name|, nom. illeg.
2639900|2864066|replacement name|
2966339|2974941|replacement name|
3004037|2923872|replacement name|, nom. superfl.
2925704|2925686|replacement name|, nom. superfl.
2925908|2925901|replacement name|, nom. superfl.
2926799|2926779|replacement name|, nom. superfl.
2496100|2932342|replacement name|
2746625|2746627|replacement name|
2966587|2970871|replacement name|, nom. illeg.
2704247|2786160|replacement name|, nom. superfl.
2970298|2967046|replacement name|, nom. illeg.
2979668|2982435|replacement name|
2610570|2595886|replacement name|, nom. illeg.
2822963|2822944|replacement name|, nom. superfl.
2965910|3241452|replacement name|
2989119|2990331|replacement name|
2984644|2989199|replacement name|, nom. illeg.
2432260|2432242|replacement name|
3196951|3190402|replacement name|, nom. superfl.
2336073|2346034|replacement name|, nom. superfl.
2440715|3223627|replacement name|
2345791|2346034|replacement name|
3212838|3061883|replacement name|
3086030|3086029|replacement name|
3086267|3086274|replacement name|, nom. superfl.
3136761|3133667|replacement name|
3136666|3133679|replacement name|, nom. superfl.
3220635|3136191|replacement name|, nom. superfl.
3135975|3133693|replacement name|, nom. superfl.
3213130|3133693|replacement name|, nom. superfl.
3133710|3136608|replacement name|
3190895|3133711|replacement name|, nom. superfl.
3136884|3133714|replacement name|, nom. superfl.
3191439|3133724|replacement name|, nom. superfl.
3108318|3108883|replacement name|
3134460|3136759|replacement name|
3136504|3136793|replacement name|
2758047|2757918|replacement name|
2611935|2613968|replacement name|
2790007|2459109|replacement name|, nom. superfl.
2659060|2658074|replacement name|
2865356|2375153|replacement name|, nom. superfl.
2616219|2615366|replacement name|
2623056|2623140|replacement name|, nom. superfl.
2781908|2689229|replacement name|
3103904|3103895|replacement name|
3276254|2980658|replacement name|
2976917|2980658|replacement name|
215120|16278|replacement name|
2722367|2722502|replacement name|
2498360|2464802|replacement name|
3097775|3097774|replacement name|
2566238|2572130|replacement name|
456833|107139|replacement name|
119788|49777|replacement name|
156951|192183|replacement name|, nom. illeg.
303584|303624|replacement name|
267344|253306|replacement name|
3227356|2721490|replacement name|
2823287|2823427|replacement name|, nom. superfl.
3014391|2330736|replacement name|
2588865|2371982|replacement name|, nom. superfl.
386952|388151|replacement name|
2342092|2541930|replacement name|
2721579|2531561|replacement name|
3245140|3025740|replacement name|, nom. superfl.
284438|311499|replacement name|
2947535|2946464|replacement name|
428816|427510|replacement name|
3284329|3204520|replacement name|
185344|179903|replacement name|
210352|167850|replacement name|
2683311|3239647|replacement name|
3015743|3017364|replacement name|
3284340|3204547|replacement name|
2798948|2798977|replacement name|
2840503|2462741|replacement name|
428918|390046|replacement name|
2705884|2705910|replacement name|
2947042|2945239|replacement name|
2967350|2967349|replacement name|
2989521|2989417|replacement name|
2945758|2945239|replacement name|
3169957|3223571|replacement name|
2572241|2573740|replacement name|
2569495|2557590|replacement name|
2860538|2861502|replacement name|, without replaced synonym page.
2655488|2655464|replacement name|
3246438|2975764|replacement name|
2838228|2842487|replacement name|
3010223|3010224|replacement name|, nom. illeg.
2358548|2673416|replacement name|
2765132|2764769|replacement name|
510284|510323|replacement name|
2710471|2710271|replacement name|
2588277|2602096|replacement name|
2545727|2457885|replacement name|
3272070|3272071|replacement name|, nom. superfl.
2510464|3000218|replacement name|
2614044|2373480|replacement name|
2779335|2779315|replacement name|
2856379|2856355|replacement name|
3195734|3223735|replacement name|
2977959|2990429|replacement name|
2869226|2869225|replacement name|
503907|504003|replacement name|
2402857|2402894|replacement name|
2501789|2500708|replacement name|
176572|176592|replacement name|
2859185|2547933|replacement name|
171646|173136|replacement name|
2978631|2978629|replacement name|
3273928|3244001|replacement name|
2374118|2373480|replacement name|, nom. superfl.
2566755|2566763|replacement name|
3139993|3223358|replacement name|, nom. superfl.
420674|420575|replacement name|
2689219|2689216|replacement name|
7131|7128|replacement name|
34132|14477|replacement name|, nom. illeg.
260809|218573|replacement name|
274610|274587|replacement name|
31325|58844|replacement name|
145062|117157|replacement name|, nom. superfl.
62664|214791|replacement name|
164308|191922|replacement name|
135574|214122|replacement name|
85773|86016|replacement name|, nom. superfl.
173295|173162|replacement name|, nom. superfl.
191111|191180|replacement name|
115858|191993|replacement name|
239678|230104|replacement name|
342155|264506|replacement name|
261815|263503|replacement name|, nom. superfl.
307857|296917|replacement name|, nom. illeg.
160044|177491|replacement name|
56711|191869|replacement name|
23373|376491|replacement name|
250266|264061|replacement name|, nom. superfl.
254751|254773|replacement name|, nom. superfl.
265891|270553|replacement name|
280567|303323|replacement name|, nom. illeg.
371201|343157|replacement name|, nom. superfl.
325699|325431|replacement name|
65817|65839|replacement name|
379692|379684|replacement name|, nom. superfl.
364434|366624|replacement name|, nom. superfl.
328936|326485|replacement name|, nom. superfl.
424412|427705|replacement name|, nom. superfl.
424798|435228|replacement name|
403749|435228|replacement name|
451321|451535|replacement name|, nom. illeg.
392290|392059|replacement name|
406008|404837|replacement name|, nom. superfl.
406015|404837|replacement name|, nom. superfl.
422679|446659|replacement name|, nom. superfl.
438217|438172|replacement name|
513911|504984|replacement name|
406439|435575|replacement name|
