taxonomicName,popularityRating,commonNames
Abelmoschus esculentus,,"Huang Shu K'Uei,Bamia,Molondron,Quiabeiro,Gombo,Gumbo,Calalou,Calalou Gombo,Quingombo,Ochro"
Abelmoschus manihot,,"Tororo-Aoi,Kastuli"
Abelmoschus moschatus,,"Musk Mallow,Moskus,Muskus,Mushk Dana,Ambercicegi,Abelmosco,Ambrette,Kasturi Dana,Kapas Hantu,Zatakasturika,Bisam Eibisch,Moschus"
Abies alba,,"Abeto,Edeltanne,Beyaz Koknar,Silver Fir,Abeto Bianco,Zilver Spar"
Abies balsamea,,"Balsam,Canada,Balsam Fir,Fir"
Abies canadensis,,"Kanada Kokspar,Balsam Fir"
Abies fraseri,,nan
Abies grandis,,nan
Abies lasiocarpa,,nan
Abies pectinata,,nan
Abies sibirica,,nan
Abies sp,,"Canada Spar,Schierlingstanne,Hemlockstanne,Zahnweh Gelbholz,Sapin Du Canada,Perusse"
Abies spectabilis,,nan
Abies webbiana,,nan
Abroma angusta,,Thian Dam
Abroma augusta,,Kapasan lawe
Abronia maritima,,nan
Abrus cantoniensis,,Ji Gu Cao
Abrus laevigatus,,nan
Abrus precatorius,,"To-Azuki,Graines Reglisse,Rakat,Reglisse,Hung Tou,Rosary Pea,Cain Ghe,Peonia,Hint Meyankoku,Paternoster,Ma Liao Tou,Pois Rouge,Paratella,Liane Reglisse,Weesboontje,Peonia De St Tomas,Jequerit,Gunchi"
Abrus prectorius,,nan
Abrus pulchellus,,Daun Sambang
Abuta barbata,,nan
Abuta bullata,,nan
Abuta candollei,,nan
Abuta grandifolia,,nan
Abuta kulugii,,nan
Abuta macrocarpa,,nan
Abuta obovata,,nan
Abuta rufescens,,nan
Abuta selloana,,Abutua
Abuta wilson-brownei,,nan
Abutilon americanum,,nan
Abutilon avicennae,,"Itibi,nan"
Abutilon graveolens,,nan
Abutilon haitiense,,Pete Vie Moune
Abutilon indicum,,"Kemband sore (Eve. expandng fl,Kembang sore (Eve. expandng fl"
Abutilon molle,,nan
Abutilon permolle,,nan
Abutilon trisulcatum,,nan
Acacia angustissima,,nan
Acacia arabica,,nan
Acacia aroma,,nan
Acacia berlandieri,,Guajillo
Acacia caesia,,nan
Acacia catechu,,"Wu Tieh Ni,Erh Ch'A,Acacia Di Cachou,Katechu Akazie,Kadaram,Acacie Au Cachou,Hai Erh Ch'A,Khair,Amaraja,Katesu,Pegu Katechu"
Acacia cochliacantha,,nan
Acacia concinna,,nan
Acacia constricta,,nan
Acacia cornigera,,nan
Acacia cymbispina,,nan
Acacia farnesiana,,"Esponjeira,Cuji,Kambang japun,Kembang bandira,Kembang nagasiri,Tusca"
Acacia ferruginea,,"Gumarabic,Indian"
Acacia georginae,,nan
Acacia hindsii,,nan
Acacia kamerunensis,,nan
Acacia koa,,nan
Acacia koaia,,nan
Acacia lutea,,Acacia
Acacia macracantha,,"Cuji,nan"
Acacia modesta,,nan
Acacia nilotica,,"Babli,Gumarabic"
Acacia pennata,,"Rigot,Rembete,Willd."
Acacia pennatula,,nan
Acacia pentagona,,nan
Acacia pinnata,,nan
Acacia pleuripetala,,nan
Acacia polyphylla,,nan
Acacia pseudointsia,,"Akar koepah,Kelichi"
Acacia senegal,,"Akasya,Arap Zamki Agaci,Kare Mugilan,Gommier Blanc,Acacia"
Acacia seyal,,nan
Acacia sieberana,,nan
Acacia smallei,,nan
Acacia sp,,"Acacia,Gum,Casha,nan"
Acacia tortuosa,,"Acacia,Bayahonde Rouge,Carambomba"
Acacia vera,,Acacia
Acacia villosa,,nan
Acaena cylindristachya,,nan
Acaena integerrima,,nan
Acaena macrostemon,,nan
Acaena sanguisorbae,,nan
Acaena sp,,Buzzies
Acaena splendens,,Cepa Caballo
Acalypha acrdiophylla,,nan
